"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS03435","1h","st",1.956,1,1,1
"N900_RS03440","1h","st",-0.57333,1,1,1
"N900_RS03445","1h","st",0.001152,1,1,1
"N900_RS03450","1h","st",3.4674,1,1,1
"N900_RS03455","1h","st",0.44415,1,1,1
"N900_RS03460","1h","st",0.12117,1,1,1
"N900_RS03465","1h","st",-0.62356,1,1,1
"N900_RS03470","1h","st",-0.39266,1,1,1
"N900_RS03475","1h","st",-0.70162,1,1,1
"N900_RS03480","1h","st",-0.84106,1,1,1
"N900_RS03485","1h","st",-0.50248,1,1,1
"N900_RS03490","1h","st",-0.0098313,1,1,1
"N900_RS03495","1h","st",-1.0226,1,1,1
"N900_RS03500","1h","st",-0.89963,1,1,1
"N900_RS03505","1h","st",-1.1477,1,1,1
"N900_RS03515","1h","st",-0.17688,1,1,1
"N900_RS03520","1h","st",-0.30117,1,1,1
"N900_RS03550","1h","st",-0.4345,1,1,1
"N900_RS03585","1h","st",3.1278,1,1,1
"N900_RS03590","1h","st",0.53203,1,1,1
"N900_RS03595","1h","st",0.13873,1,1,1
"N900_RS03605","1h","st",0.054446,1,1,1
"N900_RS03610","1h","st",-0.16185,1,1,1
"N900_RS03615","1h","st",3.6873,1,1,1
"N900_RS03620","1h","st",0.14784,1,1,1
